"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 12:22:23 GMT 2025","Mon Jun 23 12:22:33 GMT 2025","9533","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","authorizeAgent","authorizeAgent",""
"passed","Mon Jun 23 12:23:01 GMT 2025","Mon Jun 23 12:23:01 GMT 2025","125","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Mon Jun 23 12:22:56 GMT 2025","Mon Jun 23 12:22:57 GMT 2025","281","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Mon Jun 23 12:22:55 GMT 2025","Mon Jun 23 12:22:56 GMT 2025","532","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Mon Jun 23 12:20:22 GMT 2025","Mon Jun 23 12:21:19 GMT 2025","56730","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTeamCityTest","com.example.teamcity.ui.SetupTeamCityTest","startUpTest","startUpTest",""
"passed","Mon Jun 23 12:22:58 GMT 2025","Mon Jun 23 12:22:58 GMT 2025","257","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectDeveloperShouldHaveRightsToCreateBuildConfigToHisProject","projectDeveloperShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Mon Jun 23 12:23:00 GMT 2025","Mon Jun 23 12:23:00 GMT 2025","152","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateBuildConfigToHisProject","systemAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Mon Jun 23 12:22:58 GMT 2025","Mon Jun 23 12:22:59 GMT 2025","371","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectDeveloperShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectDeveloperShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Mon Jun 23 12:22:59 GMT 2025","Mon Jun 23 12:22:59 GMT 2025","126","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightsToCreateProject","projectViewerShouldNotHaveRightsToCreateProject",""
"passed","Mon Jun 23 12:23:01 GMT 2025","Mon Jun 23 12:23:01 GMT 2025","98","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightsToCreateProject","unauthorizedUserShouldNotHaveRightsToCreateProject",""
"passed","Mon Jun 23 12:23:17 GMT 2025","Mon Jun 23 12:23:55 GMT 2025","38683","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Mon Jun 23 12:23:56 GMT 2025","Mon Jun 23 12:24:09 GMT 2025","13809","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigurationTest","com.example.teamcity.ui.CreateNewBuildConfigurationTest","authorizedUserShouldBeAbleToCreateNewBuildConfiguration","authorizedUserShouldBeAbleToCreateNewBuildConfiguration",""
"passed","Mon Jun 23 12:24:10 GMT 2025","Mon Jun 23 12:24:20 GMT 2025","10037","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigurationTest","com.example.teamcity.ui.CreateNewBuildConfigurationTest","authorizedUserShouldNotBeAbleToCreateNewBuildConfigurationWithoutAName","authorizedUserShouldNotBeAbleToCreateNewBuildConfigurationWithoutAName",""
"passed","Mon Jun 23 12:22:57 GMT 2025","Mon Jun 23 12:22:57 GMT 2025","113","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateProject","projectAdminShouldHaveRightsToCreateProject",""
"passed","Mon Jun 23 12:22:48 GMT 2025","Mon Jun 23 12:22:55 GMT 2025","6747","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
